model,cate,accu
4,mountain,34.536830357142854
4,forest,25.55404974489796
4,buildings,33.826530612244895
4,sea,27.3844068877551
4,street,21.171077806122447
8,mountain,43.363360969387756
8,forest,32.09263392857143
8,buildings,45.87850765306123
8,sea,33.878348214285715
8,street,50.27822066326531
12,mountain,48.45264668367347
12,forest,36.00924744897959
12,buildings,50.887276785714285
12,sea,40.46157525510204
12,street,57.50637755102041
16,mountain,44.793526785714285
16,forest,31.509885204081634
16,buildings,43.4406887755102
16,sea,32.85953443877551
16,street,37.58450255102041
20,mountain,47.40035076530612
20,forest,33.353794642857146
20,buildings,43.62085459183673
20,sea,35.47672193877551
20,street,42.725605867346935
24,mountain,49.17171556122449
24,forest,41.08418367346939
24,buildings,46.42139668367347
24,sea,39.68670280612245
24,street,48.641581632653065
28,mountain,43.95487882653061
28,forest,34.47225765306123
28,buildings,45.85698341836735
28,sea,35.39779974489796
28,street,51.34088010204081
32,mountain,52.676977040816325
32,forest,38.643973214285715
32,buildings,49.15577168367347
32,sea,41.23485331632653
32,street,51.788105867346935
36,mountain,53.009406887755105
36,forest,39.96173469387755
36,buildings,52.191485969387756
36,sea,40.26865433673469
36,street,55.22161989795919
40,mountain,45.786830357142854
40,forest,39.44036989795919
40,buildings,44.99282525510204
40,sea,33.17362882653061
40,street,45.49824617346939
44,mountain,48.931760204081634
44,forest,39.41485969387755
44,buildings,49.83657525510204
44,sea,40.38345025510204
44,street,49.806281887755105
48,mountain,50.005580357142854
48,forest,42.23931760204081
48,buildings,48.70057397959184
48,sea,33.73963647959184
48,street,53.39046556122449
52,mountain,48.36176658163265
52,forest,42.948022959183675
52,buildings,49.58466198979592
52,sea,40.26307397959184
52,street,53.52040816326531
56,mountain,50.479910714285715
56,forest,44.34550382653061
56,buildings,50.19052933673469
56,sea,41.35522959183673
56,street,57.20982142857143
60,mountain,50.44164540816327
60,forest,46.38153698979592
60,buildings,51.77216198979592
60,sea,42.59247448979592
60,street,54.622927295918366
64,mountain,52.52710459183673
64,forest,45.71109693877551
64,buildings,50.552455357142854
64,sea,44.39174107142857
64,street,52.967155612244895
68,mountain,53.76674107142857
68,forest,42.17952806122449
68,buildings,51.560905612244895
68,sea,42.022480867346935
68,street,52.21619897959184
72,mountain,55.072544642857146
72,forest,48.89668367346939
72,buildings,52.479272959183675
72,sea,41.796875
72,street,52.55580357142857
76,mountain,54.925860969387756
76,forest,46.82079081632653
76,buildings,52.76068239795919
76,sea,48.68144132653061
76,street,53.54272959183673
80,mountain,58.95806760204081
80,forest,46.28109056122449
80,buildings,55.542889030612244
80,sea,47.23453443877551
80,street,49.94180484693877
84,mountain,58.4406887755102
84,forest,49.903539540816325
84,buildings,57.30229591836735
84,sea,51.737085459183675
84,street,60.765306122448976
88,mountain,63.46380739795919
88,forest,53.4406887755102
88,buildings,57.35889668367347
88,sea,53.6296237244898
88,street,58.638392857142854
92,mountain,59.58545918367347
92,forest,46.99856505102041
92,buildings,56.84550382653061
92,sea,49.83099489795919
92,street,58.85283801020408
96,mountain,63.28204719387755
96,forest,48.45025510204081
96,buildings,55.92235331632653
96,sea,52.32940051020408
96,street,58.69339923469388
100,mountain,66.74266581632654
100,forest,52.28316326530612
100,buildings,59.77040816326531
100,sea,57.73198341836735
100,street,59.76323341836735
104,mountain,62.46731505102041
104,forest,52.66581632653061
104,buildings,58.722098214285715
104,sea,58.95727040816327
104,street,62.17554209183673
108,mountain,64.12946428571429
108,forest,51.93797831632653
108,buildings,59.698660714285715
108,sea,56.78730867346939
108,street,59.61176658163265
112,mountain,66.40943877551021
112,forest,51.25079719387755
112,buildings,63.2453762755102
112,sea,60.49824617346939
112,street,61.834343112244895
116,mountain,67.96795280612245
116,forest,52.920918367346935
116,buildings,63.58418367346939
116,sea,64.34709821428571
116,street,64.03220663265306
120,mountain,67.71922831632654
120,forest,55.85698341836735
120,buildings,63.16167091836735
120,sea,62.874681122448976
120,street,60.82110969387755
124,mountain,70.29974489795919
124,forest,54.532844387755105
124,buildings,62.586894132653065
124,sea,64.34789540816327
124,street,62.50797193877551
128,mountain,65.88249362244898
128,forest,55.48389668367347
128,buildings,57.71683673469388
128,sea,54.969706632653065
128,street,54.98086734693877
132,mountain,71.22767857142857
