i,v
0,1.0
1,3.0
2,5.0
3,19.0
4,25.0
5,40.0
6,73.0
7,86.0
8,111.0
9,187.0
10,220.0
11,245.0
12,259.0
13,298.0
14,302.0
15,322.0
16,332.0
17,378.0
18,413.0
19,427.0
20,488.0
21,532.0
22,594.0
23,624.0
24,758.0
25,749.0
26,812.0
27,832.0
28,876.0
29,972.0
30,969.0
31,992.0
32,1046.0
33,976.0
34,993.0
35,991.0
36,942.0
37,873.0
38,810.0
39,761.0
40,646.0
41,570.0
42,464.0
43,417.0
44,403.0
45,311.0
46,268.0
47,248.0
48,257.0
49,284.0
50,256.0
51,268.0
52,308.0
53,291.0
54,317.0
55,406.0
56,721.0
57,1054.0
58,1688.0
59,2123.0
60,2285.0
61,1900.0
62,1606.0
63,1484.0
64,1437.0
65,1610.0
66,1283.0
67,1073.0
68,658.0
69,580.0
70,539.0
71,535.0
72,509.0
73,451.0
74,445.0
75,400.0
76,325.0
77,279.0
78,250.0
79,225.0
80,199.0
81,144.0
82,99.0
83,75.0
84,77.0
85,25.0
86,22.0
87,10.0
88,10.0
89,5.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
