a,b,count,color
0,0,0,#00a3ff
0,1,0,#00a2ff
0,2,0,#00a0ff
0,3,0,#009fff
0,4,0,#009dee
0,5,0,#009cdc
0,6,0,#009bca
0,7,0,#009ab9
0,8,0,#009aa8
0,9,0,#009996
0,10,0,#009885
0,11,0,#009874
0,12,0,#009763
0,13,0,#009751
0,14,0,#00973e
0,15,0,#009629
0,16,0,#009606
0,17,0,#009600
0,18,0,#009600
0,19,0,#009600
0,20,0,#009600
0,21,0,#009600
1,0,0,#00a2ff
1,1,0,#00a0ff
1,2,0,#009fff
1,3,0,#009dff
1,4,0,#009cee
1,5,0,#009bdc
1,6,0,#009acb
1,7,0,#0099b9
1,8,0,#0098a8
1,9,0,#009797
1,10,0,#009785
1,11,0,#009674
1,12,0,#009663
1,13,0,#009551
1,14,0,#00953f
1,15,0,#009529
1,16,0,#009508
1,17,0,#009400
1,18,0,#009400
1,19,0,#009400
1,20,0,#009400
1,21,0,#009400
2,0,0,#00a0ff
2,1,0,#009eff
2,2,0,#009dff
2,3,0,#009cff
2,4,0,#009aee
2,5,0,#0099dc
2,6,0,#0098cb
2,7,0,#0097b9
2,8,0,#0096a8
2,9,0,#009597
2,10,0,#009586
2,11,0,#009474
2,12,0,#009463
2,13,0,#009351
2,14,0,#00933f
2,15,0,#00932a
2,16,0,#009309
2,17,25,#009300
2,18,14,#009300
2,19,1,#009200
2,20,0,#009200
2,21,0,#009200
3,0,0,#009eff
3,1,0,#009dff
3,2,0,#009bff
3,3,0,#009aff
3,4,0,#0098ee
3,5,0,#0097dc
3,6,0,#0096cb
3,7,0,#0095b9
3,8,0,#0094a8
3,9,0,#009397
3,10,0,#009386
3,11,0,#009275
3,12,0,#009263
3,13,0,#009152
3,14,57,#00913f
3,15,477,#00912a
3,16,1579,#00910b
3,17,1417,#009100
3,18,567,#009000
3,19,45,#009000
3,20,0,#009000
3,21,0,#009000
4,0,0,#009cff
4,1,0,#009bff
4,2,0,#0099ff
4,3,0,#0097ff
4,4,0,#0096ee
4,5,0,#0095dc
4,6,0,#0094cb
4,7,0,#0093b9
4,8,0,#0092a8
4,9,0,#009197
4,10,0,#009186
4,11,2,#009075
4,12,883,#009064
4,13,4250,#008f52
4,14,10322,#008f3f
4,15,11995,#008f2b
4,16,11725,#008e0c
4,17,2429,#008e00
4,18,329,#008e00
4,19,1,#008e00
4,20,0,#008e00
4,21,0,#008e00
5,0,0,#009aff
5,1,0,#0098ff
5,2,0,#0097ff
5,3,0,#0095ff
5,4,0,#0094ee
5,5,0,#0093dc
5,6,0,#0091cb
5,7,0,#0090b9
5,8,0,#0090a8
5,9,0,#008f97
5,10,776,#008e86
5,11,11735,#008d75
5,12,46565,#008d64
5,13,75611,#008d52
5,14,90872,#008c40
5,15,64654,#008c2b
5,16,14731,#008c0e
5,17,633,#008c00
5,18,180,#008c00
5,19,17,#008c00
5,20,0,#008b00
5,21,0,#018b00
6,0,0,#0097ff
6,1,0,#0096ff
6,2,0,#0094ff
6,3,0,#0092ff
6,4,0,#0091ee
6,5,0,#0090dd
6,6,0,#008fcb
6,7,0,#008eba
6,8,753,#008da8
6,9,8005,#008c97
6,10,34664,#008b86
6,11,169168,#008b75
6,12,344702,#008a64
6,13,369304,#008a53
6,14,274692,#008940
6,15,66953,#14892c
6,16,2714,#238910
6,17,994,#2a8900
6,18,462,#2f8900
6,19,92,#328900
6,20,0,#358900
6,21,0,#378800
7,0,0,#0095ff
7,1,0,#0093ff
7,2,0,#0091ff
7,3,0,#0090ff
7,4,0,#008eee
7,5,0,#008ddd
7,6,0,#008ccb
7,7,226,#008bba
7,8,18436,#008aa8
7,9,66273,#008997
7,10,319858,#008886
7,11,940905,#008775
7,12,1152297,#038764
7,13,783023,#278753
7,14,207192,#368641
7,15,15565,#3e862d
7,16,8793,#448611
7,17,6756,#488600
7,18,1623,#4b8500
7,19,511,#4d8500
7,20,4,#4f8500
7,21,0,#508500
8,0,0,#0092ff
8,1,0,#0090ff
8,2,0,#008eff
8,3,0,#008cff
8,4,0,#008bee
8,5,0,#0089dd
8,6,29,#0088cb
8,7,22714,#0087ba
8,8,110446,#0086a9
8,9,408575,#008598
8,10,1579105,#008587
8,11,3086227,#298476
8,12,2097580,#3d8365
8,13,495944,#498353
8,14,53576,#518341
8,15,36680,#57822d
8,16,23638,#5b8213
8,17,19515,#5e8200
8,18,21790,#608200
8,19,8466,#618200
8,20,46,#628200
8,21,0,#648200
9,0,0,#008eff
9,1,0,#008cff
9,2,0,#008aff
9,3,0,#0089ff
9,4,0,#0087ef
9,5,0,#0086dd
9,6,22776,#0084cb
9,7,156680,#0083ba
9,8,625557,#0082a9
9,9,2201038,#198198
9,10,6003358,#3b8187
9,11,6823452,#4c8076
9,12,1689883,#577f65
9,13,386155,#5f7f54
9,14,144462,#657f42
9,15,78160,#6a7e2e
9,16,57694,#6d7e15
9,17,31573,#707e00
9,18,27937,#717e00
9,19,5230,#727e00
9,20,68,#737e00
9,21,0,#747e00
10,0,0,#008aff
10,1,0,#0088ff
10,2,0,#0086ff
10,3,0,#0084ff
10,4,0,#0083ef
10,5,14144,#0081dd
10,6,146328,#0080cb
10,7,680641,#007fba
10,8,2901489,#2b7ea9
10,9,11402892,#477d98
10,10,45734240,#587c87
10,11,44821985,#637b76
10,12,4463372,#6c7b65
10,13,1453926,#727a54
10,14,471640,#777a42
10,15,236416,#7b7a2f
10,16,116415,#7e7916
10,17,95690,#807900
10,18,41305,#817900
10,19,9252,#827900
10,20,0,#837900
10,21,0,#847900
11,0,0,#0086ff
11,1,0,#0084ff
11,2,0,#0082ff
11,3,0,#0080ff
11,4,6099,#007eef
11,5,92182,#007ddd
11,6,331739,#007bcc
11,7,1092628,#367aba
11,8,3020661,#5179a9
11,9,7098265,#617898
11,10,18889447,#6d7787
11,11,39857816,#767676
11,12,15458949,#7d7666
11,13,5989315,#837555
11,14,1974220,#877543
11,15,590156,#8a7530
11,16,208221,#8d7418
11,17,118435,#8e7400
11,18,41000,#8f7400
11,19,6721,#907400
11,20,0,#917400
11,21,0,#927400
12,0,0,#0081ff
12,1,0,#007fff
12,2,0,#007dff
12,3,228,#007bff
12,4,41900,#0079ef
12,5,144135,#0077dd
12,6,384174,#3d76cc
12,7,739190,#5875ba
12,8,703669,#6a73a9
12,9,421903,#767298
12,10,498614,#807188
12,11,1275838,#877177
12,12,2682267,#8d7066
12,13,4082103,#926f55
12,14,3228769,#966f44
12,15,1343804,#996f31
12,16,430238,#9b6e1a
12,17,172743,#9c6e00
12,18,42307,#9d6e00
12,19,1179,#9e6e00
12,20,0,#9f6e00
12,21,0,#9f6e00
13,0,0,#007bff
13,1,0,#0079ff
13,2,0,#0077ff
13,3,11536,#0075ff
13,4,57958,#0073ef
13,5,140514,#4371dd
13,6,209072,#5e70cc
13,7,132385,#716ebb
13,8,38513,#7e6daa
13,9,37149,#886c99
13,10,37774,#916b88
13,11,81980,#976a77
13,12,221693,#9c6966
13,13,507115,#a16956
13,14,1092632,#a46844
13,15,1084547,#a66832
13,16,445037,#a8681c
13,17,141321,#a96700
13,18,33745,#aa6700
13,19,7,#ab6700
13,20,0,#ac6700
13,21,0,#ac6700
14,0,0,#0075ff
14,1,0,#0073ff
14,2,2108,#0070ff
14,3,28589,#006eff
14,4,81695,#466cef
14,5,80901,#636ade
14,6,36284,#7768cc
14,7,6311,#8567bb
14,8,8484,#9066aa
14,9,6366,#996499
14,10,8877,#a06388
14,11,15750,#a66277
14,12,32599,#ab6267
14,13,96808,#ae6156
14,14,201010,#b16145
14,15,364376,#b36033
14,16,244546,#b5601d
14,17,81239,#b66000
14,18,28291,#b75f00
14,19,0,#b85f00
14,20,0,#b85f00
14,21,0,#b95f00
15,0,0,#006eff
15,1,19,#006bff
15,2,10405,#0069ff
15,3,35042,#4866ff
15,4,39263,#6764ef
15,5,10061,#7c62de
15,6,1633,#8b60cc
15,7,3087,#975ebb
15,8,5395,#a15daa
15,9,3966,#a85c99
15,10,4299,#af5a88
15,11,5081,#b45978
15,12,8544,#b85967
15,13,8434,#bb5857
15,14,29517,#be5746
15,15,57567,#c05734
15,16,57247,#c2561f
15,17,50033,#c35600
15,18,19300,#c45600
15,19,0,#c45600
15,20,0,#c55600
15,21,0,#c55600
16,0,0,#0066ff
16,1,2805,#0063ff
16,2,10820,#4760ff
16,3,11966,#6a5dff
16,4,1838,#805bf0
16,5,665,#9058de
16,6,636,#9d56cd
16,7,4361,#a854bb
16,8,7040,#b053aa
16,9,4042,#b75199
16,10,4633,#bd5089
16,11,270,#c14e78
16,12,70,#c54d68
16,13,666,#c84d57
16,14,915,#cb4c46
16,15,4356,#cd4b35
16,16,10224,#ce4b21
16,17,14847,#cf4b02
16,18,1830,#d04a00
16,19,0,#d04a00
16,20,0,#d14a00
16,21,0,#d14a00
17,0,153,#005cff
17,1,3164,#4558ff
17,2,3203,#6b55ff
17,3,861,#8352ff
17,4,77,#954ff0
17,5,137,#a34cde
17,6,464,#ae4acd
17,7,382,#b748bc
17,8,1063,#bf45ab
17,9,1076,#c5439a
17,10,5597,#ca4289
17,11,76,#cf4079
17,12,8,#d23f68
17,13,24,#d53e58
17,14,42,#d73d47
17,15,145,#d93c36
17,16,4102,#da3c23
17,17,1962,#db3b06
17,18,10,#dc3b00
17,19,0,#dc3b00
17,20,0,#dd3b00
17,21,0,#dd3b00
18,0,1334,#4150ff
18,1,565,#6c4cff
18,2,66,#8648ff
18,3,4,#9944ff
18,4,29,#a840f0
18,5,107,#b43dde
18,6,114,#be39cd
18,7,121,#c636bc
18,8,121,#cd33ab
18,9,53,#d3319a
18,10,260,#d72e8a
18,11,5,#db2c79
18,12,9,#df2a69
18,13,13,#e12859
18,14,18,#e32748
18,15,40,#e52637
18,16,220,#e62525
18,17,653,#e7240b
18,18,0,#e82400
18,19,0,#e82300
18,20,0,#e92300
18,21,0,#e92300
19,0,0,#6b40ff
19,1,0,#883bff
19,2,0,#9c35ff
19,3,0,#ac30ff
19,4,5,#b92af0
19,5,85,#c424df
19,6,28,#cd1ecd
19,7,48,#d418bc
19,8,55,#da10ab
19,9,0,#e0079a
19,10,47,#e4008a
19,11,0,#e8007a
19,12,0,#eb0069
19,13,0,#ed0059
19,14,0,#ef0049
19,15,0,#f10038
19,16,0,#f20026
19,17,0,#f30010
19,18,0,#f30000
19,19,0,#f40000
19,20,0,#f40000
19,21,0,#f50000
20,0,0,#8928ff
20,1,0,#9f1fff
20,2,0,#b012ff
20,3,0,#be00ff
20,4,1,#c900f0
20,5,0,#d300df
20,6,3,#db00cd
20,7,0,#e200bc
20,8,0,#e800ab
