a,b,count,color
2,17,25,#009300
2,18,14,#009300
2,19,1,#009200
3,14,57,#00913f
3,15,477,#00912a
3,16,1579,#00910b
3,17,1417,#009100
3,18,567,#009000
3,19,45,#009000
4,11,2,#009075
4,12,883,#009064
4,13,4250,#008f52
4,14,10322,#008f3f
4,15,11995,#008f2b
4,16,11725,#008e0c
4,17,2429,#008e00
4,18,329,#008e00
4,19,1,#008e00
5,10,776,#008e86
5,11,11735,#008d75
5,12,46565,#008d64
5,13,75611,#008d52
5,14,90872,#008c40
5,15,64654,#008c2b
5,16,14731,#008c0e
5,17,633,#008c00
5,18,180,#008c00
5,19,17,#008c00
6,8,753,#008da8
6,9,8005,#008c97
6,10,34664,#008b86
6,11,169168,#008b75
6,12,344702,#008a64
6,13,369304,#008a53
6,14,274692,#008940
6,15,66953,#14892c
6,16,2714,#238910
6,17,994,#2a8900
6,18,462,#2f8900
6,19,92,#328900
7,7,226,#008bba
7,8,18436,#008aa8
7,9,66273,#008997
7,10,319858,#008886
7,11,940905,#008775
7,12,1152297,#038764
7,13,783023,#278753
7,14,207192,#368641
7,15,15565,#3e862d
7,16,8793,#448611
7,17,6756,#488600
7,18,1623,#4b8500
7,19,511,#4d8500
7,20,4,#4f8500
8,6,29,#0088cb
8,7,22714,#0087ba
8,8,110446,#0086a9
8,9,408575,#008598
8,10,1579105,#008587
8,11,3086227,#298476
8,12,2097580,#3d8365
8,13,495944,#498353
8,14,53576,#518341
8,15,36680,#57822d
8,16,23638,#5b8213
8,17,19515,#5e8200
8,18,21790,#608200
8,19,8466,#618200
8,20,46,#628200
9,6,22776,#0084cb
9,7,156680,#0083ba
9,8,625557,#0082a9
9,9,2201038,#198198
9,10,6003358,#3b8187
9,11,6823452,#4c8076
9,12,1689883,#577f65
9,13,386155,#5f7f54
9,14,144462,#657f42
9,15,78160,#6a7e2e
9,16,57694,#6d7e15
9,17,31573,#707e00
9,18,27937,#717e00
9,19,5230,#727e00
9,20,68,#737e00
10,5,14144,#0081dd
10,6,146328,#0080cb
10,7,680641,#007fba
10,8,2901489,#2b7ea9
10,9,11402892,#477d98
10,10,45734240,#587c87
10,11,44821985,#637b76
10,12,4463372,#6c7b65
10,13,1453926,#727a54
10,14,471640,#777a42
10,15,236416,#7b7a2f
10,16,116415,#7e7916
10,17,95690,#807900
10,18,41305,#817900
10,19,9252,#827900
11,4,6099,#007eef
11,5,92182,#007ddd
11,6,331739,#007bcc
11,7,1092628,#367aba
11,8,3020661,#5179a9
11,9,7098265,#617898
11,10,18889447,#6d7787
11,11,39857816,#767676
11,12,15458949,#7d7666
11,13,5989315,#837555
11,14,1974220,#877543
11,15,590156,#8a7530
11,16,208221,#8d7418
11,17,118435,#8e7400
11,18,41000,#8f7400
11,19,6721,#907400
12,3,228,#007bff
12,4,41900,#0079ef
12,5,144135,#0077dd
12,6,384174,#3d76cc
12,7,739190,#5875ba
12,8,703669,#6a73a9
12,9,421903,#767298
12,10,498614,#807188
12,11,1275838,#877177
12,12,2682267,#8d7066
12,13,4082103,#926f55
12,14,3228769,#966f44
12,15,1343804,#996f31
12,16,430238,#9b6e1a
12,17,172743,#9c6e00
12,18,42307,#9d6e00
12,19,1179,#9e6e00
13,3,11536,#0075ff
13,4,57958,#0073ef
13,5,140514,#4371dd
13,6,209072,#5e70cc
13,7,132385,#716ebb
13,8,38513,#7e6daa
13,9,37149,#886c99
13,10,37774,#916b88
13,11,81980,#976a77
13,12,221693,#9c6966
13,13,507115,#a16956
13,14,1092632,#a46844
13,15,1084547,#a66832
13,16,445037,#a8681c
13,17,141321,#a96700
13,18,33745,#aa6700
13,19,7,#ab6700
14,2,2108,#0070ff
14,3,28589,#006eff
14,4,81695,#466cef
14,5,80901,#636ade
14,6,36284,#7768cc
14,7,6311,#8567bb
14,8,8484,#9066aa
14,9,6366,#996499
14,10,8877,#a06388
14,11,15750,#a66277
14,12,32599,#ab6267
