a,b,weight
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,7.345136708849423
2,18,7.345213177020091
2,19,7.34530355054727
2,20,0.0
2,21,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,7.344914265041965
3,15,7.341995938475355
3,16,7.33434981895752
3,17,7.335472841505008
3,18,7.341370884470607
3,19,7.344997679890853
3,20,0.0
3,21,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,7.345296598658534
4,12,7.339177093005205
4,13,7.315883258908863
4,14,7.27424713341906
4,15,7.262858403407783
4,16,7.264693979504871
4,17,7.3284630474947585
4,18,7.343024036519038
4,19,7.34530355054727
4,20,0.0
4,21,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,7.339919780627582
5,11,7.264625978659516
5,12,7.03525917488567
5,13,6.854773284078725
5,14,6.7636061866229795
5,15,6.921759429154564
5,16,7.244310089817895
5,17,7.340912579169704
5,18,7.344059372065581
5,19,7.345192321906553
5,20,0.0
5,21,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,7.340079443389456
6,9,7.2900789242411905
6,10,7.111984383576626
6,11,6.33157660796016
6,12,5.5384459065471505
6,13,5.44288695533837
6,14,5.82970415921601
6,15,6.907596074377599
6,16,7.326491362497327
6,17,7.3384068001730505
6,18,7.34210012449089
6,19,7.344670982554127
6,20,0.0
6,21,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,7.343739707120331
7,8,7.2193430730839605
7,9,6.911779282147266
7,10,5.638411356159119
7,11,3.885355608881333
7,12,3.5135242571135135
7,13,4.218810539209611
7,14,6.14107536143908
7,15,7.238674934581741
7,16,7.284686884746257
7,17,7.298641815858707
7,18,7.334044859865159
7,19,7.341759794453355
7,20,7.345282694920538
7,21,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,7.345108902636655
8,7,7.190727987517449
8,8,6.650164156444616
8,9,5.297000485576403
8,10,2.9445658643824055
8,11,1.873357314224051
8,12,2.460544953257324
8,13,4.998911095587236
8,14,6.990829563956471
8,15,7.098869807370161
8,16,7.184577213432804
8,17,7.212104301852143
8,18,7.196889302079776
8,19,7.286923475774304
8,20,7.344990728581081
8,21,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,7.190314943638132
9,7,6.396746594331543
9,8,4.613734162477865
9,9,2.382401244847557
9,10,1.0992964548260586
9,11,0.9848901441291977
9,12,2.8257978197235722
9,13,5.379314981579334
9,14,6.461819139469814
9,15,6.839375327313539
9,16,6.964993906079424
9,17,7.132186469607207
9,18,7.156097955692153
9,19,7.309131105171732
9,20,7.34483780309485
9,21,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,7.248281583877928
10,6,6.451795377377869
10,7,4.46744212139105
10,8,1.9607937612817463
10,9,0.6228971127407705
10,10,0.16586529750528928
10,11,0.1691633827236462
10,12,1.4059836088066286
10,13,3.091387452874168
10,14,5.078410653438529
10,15,6.002277153535954
10,16,6.616323839173125
10,17,6.735325663710806
10,18,7.068965034413149
10,19,7.281549764796675
10,20,0.0
10,21,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,7.303154153781459
11,5,6.755893314715845
11,6,5.590159097325816
11,7,3.6110706994615795
11,8,1.9034826544879564
11,9,0.9517000204440603
11,10,0.38909860371453675
11,11,0.18968807614248562
11,12,0.4699195843137114
11,13,1.1014874327281596
11,14,2.5606940614792446
11,15,4.71291818687718
11,16,6.136079222728083
11,17,6.604949626074254
11,18,7.070929370972918
11,19,7.298882058541482
11,20,0.0
11,21,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,7.343725809275711
12,4,7.065136107649253
12,5,6.463578923348114
12,6,5.386711355909773
12,7,4.3217870832485605
12,8,4.408998272166141
12,9,5.249250197319649
12,10,4.990328877037928
12,11,3.327424418859382
12,12,2.075761848317707
12,13,1.5103015864877805
12,14,1.8110446453652531
12,15,3.2332099624900286
12,16,5.219823439284359
12,17,6.313163856070366
12,18,7.0625193812113425
12,19,7.337123338043646
12,20,0.0
12,21,0.0
13,0,0.0
13,1,0.0
13,2,0.0
13,3,7.265979434927836
13,4,6.963344125246801
13,5,6.483129971115788
13,6,6.131953470939426
13,7,6.527455045074079
13,8,7.086987601384685
13,9,7.095825778790967
13,10,7.09177329270287
13,11,6.816428617741252
13,12,6.071410194424713
13,13,4.963199200375034
13,14,3.6110639787556424
13,15,3.624699474739906
13,16,5.168380427817218
13,17,6.478762459711682
13,18,7.117978797431405
13,19,7.345261839412237
13,20,0.0
13,21,0.0
14,0,0.0
14,1,0.0
14,2,7.330685058594547
14,3,7.151798407073225
14,4,6.818135293789227
14,5,6.822894543625013
14,6,7.1014420662389215
14,7,7.301697508207702
14,8,7.2868003249535755
14,9,7.301319699799115
14,10,7.284112569227235
14,11,7.237426117951042
14,12,7.125468049228525
14,13,6.7287970411786775
14,14,6.171263144513585
14,15,5.46176324406943
14,16,5.964772582006511
14,17,6.820867753797157
14,18,7.1537628969616
14,19,0.0
14,20,0.0
14,21,0.0
15,0,0.0
15,1,7.34517841856332
15,2,7.273681279746849
15,3,7.109521710816787
15,4,7.082137274545649
15,5,7.276027078461311
15,6,7.333975554517295
15,7,7.3239124788567445
15,8,7.307995488670735
15,9,7.317842337608877
15,10,7.315545354948756
15,11,7.310156904585926
15,12,7.286389852279038
15,13,7.287142420845122
15,14,7.145687706551187
15,15,6.965787829166881
15,16,6.967789068099361
15,17,7.013211648900229
15,18,7.213545530757454
15,19,0.0
15,20,0.0
15,21,0.0
16,0,0.0
16,1,7.325862030378519
16,2,7.2708533313817325
16,3,7.2630555134116035
16,4,7.3325550834872555
16,5,7.340690391136137
16,6,7.340891748470181
16,7,7.315117847731089
16,8,7.296693002746639
16,9,7.317317974299142
16,10,7.313242922479314
16,11,7.343433966689422
16,12,7.344823901093686
16,13,7.3406834479768115
16,14,7.33895501001385
16,15,7.315152322267343
16,16,7.274915363158559
16,17,7.243525778000449
16,18,7.3326105061855005
16,19,0.0
16,20,0.0
