a,b,count,color
9,9,178.0,#198198
9,10,16.0,#3b8187
9,11,6.0,#4c8076
10,8,612.0,#2b7ea9
10,9,7662.0,#477d98
10,10,10891.0,#587c87
10,11,1130.0,#637b76
10,12,86.0,#6c7b65
10,13,56.0,#727a54
10,14,57.0,#777a42
10,15,23.0,#7b7a2f
11,7,3.0,#367aba
11,8,122.0,#5179a9
11,9,1233.0,#617898
11,10,2914.0,#6d7787
11,11,1265.0,#767676
11,12,357.0,#7d7666
11,13,397.0,#837555
11,14,116.0,#877543
11,15,7.0,#8a7530
12,7,21.0,#5875ba
12,8,20.0,#6a73a9
12,9,1.0,#767298
12,11,2.0,#877177
12,12,8.0,#8d7066
12,13,157.0,#926f55
12,14,2327.0,#966f44
12,15,1474.0,#996f31
13,14,44.0,#a46844
13,15,11391.0,#a66832
14,15,7600.0,#b36033
